id_musica,nome_musica,artista,album,popularidade,duracao_ms,genero,data_lancamento,playlist_nome,playlist_id
5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),65,613026,Não informado,2021-11-12,Spotify Search,spotify_search
5eZT30V5rwLbsal1MMkOxD,American Cars,Noah Kahan,The Great Divide: The Last Of The Bugs,65,272084,Não informado,2026-04-25,Spotify Search,spotify_search
0TlcczkVTGpinpkGJpT81L,Drag Path,Twenty One Pilots,Drag Path,65,224000,Não informado,2026-02-17,Spotify Search,spotify_search
3AoeaZs8dFemFJr3JdzOL0,You Are Not Alone,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",65,344826,Não informado,1995-06-16,Spotify Search,spotify_search
54eZmuggBFJbV7k248bTTt,A Horse with No Name,America,America,65,252239,Não informado,1972-01-01,Spotify Search,spotify_search
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,AM,55,183956,Não informado,2013-09-09,Spotify Search,spotify_search
6SuIUd8Wl5tZcyMFAV0EZJ,Nalguita y Teta,Neton Vega,Nalguita y Teta,55,187764,Não informado,2026-03-27,Spotify Search,spotify_search
1oAwsWBovWRIp7qLMGPIet,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,55,290146,Não informado,2017-06-09,Spotify Search,spotify_search
56sk7jBpZV0CD31G9hEU3b,Animal I Have Become,Three Days Grace,One-X,55,231400,Não informado,2006-06-25,Spotify Search,spotify_search
1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,The Bigger Artist,55,209269,Não informado,2017-09-29,Spotify Search,spotify_search
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,Hunting High and Low,55,225280,Não informado,1985-06-01,Spotify Search,spotify_search
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",55,182826,Não informado,2007-09-25,Spotify Search,spotify_search
