id_musica,nome_musica,artista,album,popularidade,duracao,genero,data_lancamento,playlist_nome,playlist_id
2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer,Weezer,,200306,,2001-05-15,Spotify Search,spotify_search
0TlcczkVTGpinpkGJpT81L,Drag Path,Twenty One Pilots,Drag Path,,224000,,2026-02-17,Spotify Search,spotify_search
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),,264306,,1991-09-24,Spotify Search,spotify_search
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,AM,,183956,,2013-09-09,Spotify Search,spotify_search
02FkZqM5go6FyrOS85qzAa,Everglades,AZIEDOESNTEXIST,Everglades,,108505,,2026-03-12,Spotify Search,spotify_search
2Mgur7BKnpr7OG3izSNFTA,Esclava - Remix,Bryant Myers,Esclava (Remix),,281545,,2016-05-01,Spotify Search,spotify_search
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,Hunting High and Low,,225280,,1985-06-01,Spotify Search,spotify_search
54eZmuggBFJbV7k248bTTt,A Horse with No Name,America,America,,252239,,1972,Spotify Search,spotify_search
1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,The Bigger Artist,,209269,,2017-09-29,Spotify Search,spotify_search
3AoeaZs8dFemFJr3JdzOL0,You Are Not Alone,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",,344826,,1995-06-16,Spotify Search,spotify_search
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),,264306,,1991-09-24,Spotify Search,spotify_search
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",,182826,,2007-09-25,Spotify Search,spotify_search
2O4dfLvOE0VBqDmGQiw7fR,A Few Of Your Own,Noah Kahan,The Great Divide: The Last Of The Bugs,,270069,,2026-04-25,Spotify Search,spotify_search
